,Cuboid,Pinky,Middle,Thumb,Heel,Side
0,2923.0,3040.0,3054.0,3212.0,2929.0,R
5,2485.212569316081,2853.6861313868617,2565.7,2931.8913043478265,2578.3831417624524,R
15,1359.3870967741937,1853.3981308411212,1102.1935483870968,1805.9418181818185,1628.002688172043,R
